doi	pubdate	source	number	text	software	ID	curation_label
10.1371/journal.pone.0200956	2018	Phylogenetic analyses	1	Using SequenceMatrix [	SequenceMatrix	SM51323	software
10.3390/jof7040294	2021	2. Materials and Methods	11	For all isolates, ITS, tef1, and tub2 sequences were trimmed to a common length and concatenated using the Sequence Matrix software [	Sequence Matrix	SM61024	not_curated
10.3390/jof7040294	2021	2.4. Molecular Identification and Phylogenetic Analyses	1	For all isolates, ITS, tef1, and tub2 sequences were trimmed to a common length and concatenated using the Sequence Matrix software [	Sequence Matrix	SM61024	not_curated
10.3390/v12010096	2020	2. Materials and Methods	9	A multiple alignment of ten coding regions (VP1–VP7 and NS1–NS3) was performed using the Muscle algorithm of MEGA6 software and then FASTA files were concatenated using the SequenceMatrix tool [	SequenceMatrix	SM51323	software
10.3390/v12010096	2020	2.6. Phylogenetic Analysis	1	A multiple alignment of ten coding regions (VP1–VP7 and NS1–NS3) was performed using the Muscle algorithm of MEGA6 software and then FASTA files were concatenated using the SequenceMatrix tool [	SequenceMatrix	SM51323	software
10.1371/journal.pone.0101375	2014	Materials and Methods	9	Individual genes were concatenated using SequenceMatrix v1	SequenceMatrix	SM51323	software
10.1371/journal.pone.0101375	2014	Phylogenetic analyses	3	Individual genes were concatenated using SequenceMatrix v1	SequenceMatrix	SM51323	software
10.1038/s41559-018-0494-6	2018	Methods	14	We concatenated the 66 chunks from the filtered dataset into a single alignment using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41559-018-0494-6	2018	Phylogenetic analyses	12	We concatenated the 66 chunks from the filtered dataset into a single alignment using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41559-018-0494-6	2018	Data filtering	4	We concatenated the 66 chunks from the filtered dataset into a single alignment using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-14703-3	2017	Materials and Methods	85	Alignments of all genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-14703-3	2017	Phylogenetic analyses	80	Alignments of all genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-14703-3	2017	Dataset concatenation, partitioning and substitution model selection	0	Alignments of all genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-17145-z	2017	Materials and Methods	119	Alignments of individual genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-17145-z	2017	Phylogenetic analyses	114	Alignments of individual genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1038/s41598-017-17145-z	2017	Dataset concatenation, partitioning and substitution model selection	0	Alignments of individual genes were concatenated using SequenceMatrix 1	SequenceMatrix	SM51323	software
10.1371/journal.pone.0112461	2014	Material and Methods	7	Multiple sequence alignments were first performed to each fragment using MUSCLE and the alignments were subsequently trimmed in Gblocks and concatenated using SequenceMatrix 	SequenceMatrix	SM51323	software
10.1371/journal.pone.0112461	2014	Phylogenetic analyses	3	Multiple sequence alignments were first performed to each fragment using MUSCLE and the alignments were subsequently trimmed in Gblocks and concatenated using SequenceMatrix 	SequenceMatrix	SM51323	software
10.1371/journal.pone.0112461	2014	Maximum likelihood approach	0	Multiple sequence alignments were first performed to each fragment using MUSCLE and the alignments were subsequently trimmed in Gblocks and concatenated using SequenceMatrix 	SequenceMatrix	SM51323	software
10.1371/journal.pone.0128181	2015	Material and Methods	17	Aligned sequences were concatenated and analyzed using Sequence Matrix v1	Sequence Matrix	SM61024	not_curated
10.1371/journal.pone.0128181	2015	Phylogenetic analyses	1	Aligned sequences were concatenated and analyzed using Sequence Matrix v1	Sequence Matrix	SM61024	not_curated
10.1007/s11557-017-1290-4	2017	Materials and methods	534	Combined sequences of SSU, ITS, LSU, TEF and RPB2 were concatenated using Sequence Matrix for Windows version 1	Sequence Matrix	SM61024	not_curated
